ordre;CD_REF;CD_NOM;NOM_CITE;AUTEUR;NOMS_COMMUNS;POPULATION;RANG;FAMILLE;ENDEMISME;COMMENTAIRE;STATUT;CRITERES;TENDANCE;VERSION;STATUT_I;STATUT_EU;ANNEEEVAL;NOM_LISTE;TYPE_LISTE;GROUPE_GRAND_PUBLIC
"25";"629015";"629015";"Acrocomia aculeata";"(Jacq.) Lodd. ex Mart., 1845";"Glou-glou";"";"ES";"Arecaceae";"";"";"EN";"B2ab(iii,v) D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"629016";"629016";"Acrocomia karukerana ";"L.H.Bailey, 1941";"Glou-glou";"";"ES";"Arecaceae";"";"";"EN";"D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"716108";"716108";"Adiantum pulverulentum ";"L., 1753";"";"";"ES";"Pteridaceae";"";"";"EN";"B2ab(iii)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"629019";"629019";"Aechmea flemingii ";"H.E. Luther, 1991";"Ananas-bois";"";"ES";"Bromeliaceae";"Guadeloupe";"";"EN";"B2ab(iii)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"1948";"1948";"Anas bahamensis";"Linnaeus, 1758";"Canard des Bahamas";"";"ES";"Anatidae";"";"";"EN";"CR (D) (-1)";"";"2012";"LC";"";"";"Liste rouge des oiseaux non nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_non_nicheurs_2012";"Oiseaux";
"25";"720160";"720160";"Anemia hirta ";"(L.) Sw., 1806";"";"";"ES";"Anemiaceae";"";"";"EN";"B2ab(iv,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"630823";"631626";"Argusia gnaphalodes";"(L.) Heine, 1976";"Romarin blanc bord de mer";"";"ES";"Boraginaceae";"";"";"EN";"B2ab(iii)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"716116";"716116";"Asplenium radicans var. cirrhatum ";"(Rich. ex Willd.) Rosenst., 1906";"";"";"VAR";"Aspleniaceae";"";"";"EN";"B2ab(iii,iv,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"716119";"716119";"Blechnum serrulatum ";"Rich., 1792";"";"";"ES";"Blechnaceae";"";"";"EN";"B2ab(ii,iii,iv,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"25";"629176";"629176";"Bocconia frutescens ";"L., 1753";"Grande Chélidoine";"";"ES";"Papaveraceae";"";"";"EN";"B2ab(iv) D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
